Flight_ID,Date,Day_of_Week,Airline,Origin_Airport,Destination_Airport,Aircraft_Type,Flight_Status,Time_of_Day,Flight_Delay_Mins,Aircraft_Age_Years
2611,16/11/2015,Monday,United Airlines,SFO,SFO,Embraer E175,On-time,Morning,0,29
2612,11/8/2012,Tuesday,Southwest Airlines,SFO,DFW,Boeing 737,Delayed,Night,139,20
2613,28/3/2014,Tuesday,Delta Airlines,MIA,ATL,Embraer E175,On-time,Evening,0,3
2614,3/5/2012,Friday,United Airlines,ATL,LAX,Airbus A320,On-time,Evening,0,22
2615,28/8/2013,Sunday,JetBlue Airways,DFW,LAX,Airbus A380,On-time,Evening,0,16
2616,9/9/2014,Thursday,American Airlines,SFO,JFK,Airbus A380,On-time,Afternoon,0,22
2617,22/6/2015,Saturday,United Airlines,DEN,LAX,Boeing 737,Delayed,Evening,111,18
2618,5/11/2014,Friday,United Airlines,DFW,DFW,Airbus A320,On-time,Night,0,7
2619,30/1/2014,Sunday,Southwest Airlines,DEN,ATL,Boeing 737,On-time,Night,0,17
2620,8/5/2012,Wednesday,United Airlines,ATL,SFO,Boeing 777,Delayed,Evening,120,25
2621,26/7/2015,Tuesday,Southwest Airlines,ATL,LAX,Embraer E175,On-time,Morning,0,18
2622,26/6/2015,Wednesday,American Airlines,ATL,EWR,Boeing 777,On-time,Afternoon,0,3
2623,19/1/2011,Sunday,Delta Airlines,JFK,ORD,Boeing 777,On-time,Morning,0,22
2624,17/1/2015,Friday,Delta Airlines,ORD,LAX,Boeing 737,On-time,Afternoon,0,11
2625,14/2/2015,Thursday,JetBlue Airways,ATL,LGA,Boeing 737,On-time,Afternoon,0,23
2626,6/6/2015,Friday,JetBlue Airways,DEN,ATL,Embraer E175,On-time,Night,0,14
2627,1/2/2012,Thursday,American Airlines,DEN,LAX,Boeing 737,On-time,Afternoon,0,17
2628,27/9/2013,Thursday,Delta Airlines,LGA,ATL,Boeing 737,On-time,Evening,0,19
2629,26/7/2014,Sunday,JetBlue Airways,ORD,SFO,Boeing 737,Delayed,Afternoon,17,22
2630,30/4/2013,Monday,United Airlines,MIA,LAX,Boeing 737,On-time,Night,0,20
2631,20/10/2014,Sunday,Southwest Airlines,MIA,ORD,Boeing 737,On-time,Night,0,5
2632,16/9/2014,Tuesday,JetBlue Airways,ORD,LAX,Boeing 777,On-time,Afternoon,0,29
2633,23/7/2015,Friday,American Airlines,EWR,JFK,Boeing 777,On-time,Afternoon,0,28
2634,29/9/2014,Thursday,Delta Airlines,JFK,LGA,Embraer E175,On-time,Afternoon,0,3
2635,1/4/2013,Sunday,American Airlines,DFW,ORD,Airbus A380,On-time,Morning,0,16
2636,30/3/2012,Sunday,Southwest Airlines,MIA,DEN,Embraer E175,Delayed,Evening,130,24
2637,13/6/2015,Friday,Southwest Airlines,ATL,SFO,Airbus A320,On-time,Afternoon,0,1
2638,25/12/2012,Friday,American Airlines,MIA,LAX,Embraer E175,On-time,Evening,0,11
2639,6/8/2015,Thursday,JetBlue Airways,ATL,ORD,Embraer E175,Delayed,Night,34,10
2640,24/12/2013,Saturday,JetBlue Airways,DEN,EWR,Boeing 737,On-time,Evening,0,7
2641,4/1/2014,Wednesday,Delta Airlines,ATL,SFO,Boeing 737,Delayed,Afternoon,7,16
2642,11/12/2012,Tuesday,Delta Airlines,ATL,DEN,Boeing 737,On-time,Night,0,2
2643,23/5/2011,Tuesday,United Airlines,JFK,JFK,Airbus A380,On-time,Afternoon,0,8
2644,5/7/2013,Saturday,United Airlines,LGA,LGA,Boeing 737,On-time,Evening,0,15
2645,7/4/2013,Monday,Delta Airlines,ATL,MIA,Airbus A320,On-time,Evening,0,16
2646,27/8/2012,Saturday,United Airlines,DFW,SFO,Boeing 777,On-time,Morning,0,3
2647,5/2/2015,Monday,American Airlines,EWR,MIA,Airbus A320,On-time,Evening,0,20
2648,11/12/2014,Monday,JetBlue Airways,JFK,EWR,Airbus A380,On-time,Night,0,2
2649,1/11/2011,Saturday,United Airlines,LGA,EWR,Boeing 737,On-time,Afternoon,0,15
2650,5/1/2013,Tuesday,United Airlines,EWR,MIA,Embraer E175,On-time,Evening,0,14
2651,1/3/2015,Wednesday,American Airlines,SFO,SFO,Boeing 777,On-time,Afternoon,0,21
2652,18/10/2011,Tuesday,Southwest Airlines,DEN,EWR,Airbus A380,On-time,Morning,0,9
2653,12/4/2011,Sunday,Delta Airlines,LAX,MIA,Airbus A320,On-time,Afternoon,0,4
2654,14/7/2014,Tuesday,American Airlines,DEN,ATL,Boeing 737,On-time,Afternoon,0,23
2655,16/5/2013,Tuesday,Southwest Airlines,SFO,ORD,Airbus A380,On-time,Evening,0,8
2656,25/8/2013,Saturday,American Airlines,EWR,EWR,Airbus A380,On-time,Evening,0,10
2657,4/7/2015,Saturday,JetBlue Airways,ORD,MIA,Embraer E175,On-time,Afternoon,0,17
2658,31/8/2013,Sunday,American Airlines,DEN,DEN,Embraer E175,On-time,Morning,0,6
2659,21/4/2013,Sunday,American Airlines,MIA,LGA,Embraer E175,Delayed,Night,51,5
2660,19/8/2013,Saturday,JetBlue Airways,DFW,ORD,Airbus A320,On-time,Night,0,10
2661,30/7/2013,Tuesday,Delta Airlines,SFO,LGA,Embraer E175,Delayed,Night,61,26
2662,6/12/2015,Wednesday,Southwest Airlines,DFW,SFO,Airbus A380,On-time,Night,0,17
2663,23/10/2013,Monday,United Airlines,JFK,ORD,Airbus A380,On-time,Afternoon,0,16
2664,26/3/2011,Friday,Delta Airlines,SFO,SFO,Airbus A380,On-time,Afternoon,0,25
2665,23/12/2015,Monday,American Airlines,ATL,LAX,Boeing 777,On-time,Afternoon,0,27
2666,24/11/2011,Sunday,United Airlines,ORD,EWR,Boeing 777,On-time,Afternoon,0,26
2667,26/3/2013,Sunday,JetBlue Airways,LGA,LGA,Airbus A320,Delayed,Morning,135,23
2668,13/1/2015,Monday,Delta Airlines,LGA,DEN,Embraer E175,On-time,Afternoon,0,29
2669,29/3/2012,Friday,Southwest Airlines,LAX,LAX,Airbus A380,On-time,Afternoon,0,17
2670,20/9/2012,Tuesday,Delta Airlines,LAX,LGA,Embraer E175,On-time,Afternoon,0,28
2671,29/5/2014,Wednesday,Delta Airlines,ATL,SFO,Airbus A380,On-time,Evening,0,18
2672,23/3/2014,Wednesday,United Airlines,DFW,DEN,Boeing 777,Delayed,Night,39,20
2673,26/10/2012,Monday,JetBlue Airways,JFK,ATL,Airbus A380,Delayed,Evening,0,26
2674,12/1/2011,Friday,JetBlue Airways,MIA,DEN,Airbus A320,On-time,Morning,0,9
2675,2/3/2014,Sunday,Delta Airlines,LAX,ATL,Boeing 737,On-time,Morning,0,11
2676,31/10/2011,Thursday,JetBlue Airways,SFO,DFW,Airbus A380,On-time,Night,0,2
2677,9/8/2014,Tuesday,United Airlines,DEN,ATL,Airbus A320,On-time,Night,0,14
2678,1/9/2013,Monday,United Airlines,EWR,ATL,Boeing 777,On-time,Afternoon,0,15
2679,16/8/2014,Wednesday,Southwest Airlines,ORD,LAX,Boeing 777,Delayed,Night,131,1
2680,30/10/2015,Sunday,JetBlue Airways,SFO,ATL,Boeing 737,On-time,Morning,0,1
2681,21/2/2013,Saturday,Southwest Airlines,DEN,DFW,Embraer E175,On-time,Afternoon,0,9
2682,12/2/2011,Saturday,American Airlines,DFW,EWR,Embraer E175,On-time,Morning,0,12
2683,1/8/2013,Friday,United Airlines,DFW,LAX,Airbus A380,On-time,Evening,0,17
2684,9/12/2011,Friday,Delta Airlines,JFK,DEN,Boeing 777,On-time,Afternoon,0,15
2685,11/9/2014,Monday,United Airlines,ATL,ORD,Airbus A320,On-time,Afternoon,0,4
2686,12/5/2012,Thursday,American Airlines,DFW,DEN,Boeing 737,Delayed,Evening,41,5
2687,30/12/2011,Wednesday,Delta Airlines,LGA,LGA,Embraer E175,On-time,Morning,0,14
2688,9/6/2013,Monday,JetBlue Airways,ORD,SFO,Airbus A380,Delayed,Night,91,6
2689,2/3/2012,Thursday,JetBlue Airways,LGA,DFW,Airbus A380,Delayed,Afternoon,165,6
2690,1/10/2013,Sunday,United Airlines,EWR,ATL,Boeing 777,On-time,Night,0,19
2691,21/1/2011,Friday,Delta Airlines,JFK,DFW,Airbus A320,Delayed,Evening,61,23
2692,11/2/2012,Saturday,Delta Airlines,EWR,LGA,Airbus A320,On-time,Morning,0,24
2693,10/9/2012,Tuesday,Southwest Airlines,DFW,LAX,Embraer E175,On-time,Morning,0,1
2694,11/10/2013,Sunday,American Airlines,ATL,DFW,Airbus A380,On-time,Morning,0,29
2695,2/12/2011,Saturday,JetBlue Airways,LAX,LGA,Boeing 777,Delayed,Night,116,9
2696,14/2/2014,Wednesday,United Airlines,DEN,DEN,Airbus A320,Delayed,Night,53,29
2697,21/2/2014,Wednesday,Delta Airlines,DEN,MIA,Airbus A380,Delayed,Night,154,22
2698,3/2/2012,Saturday,JetBlue Airways,JFK,MIA,Airbus A320,Delayed,Night,166,1
2699,3/3/2013,Sunday,United Airlines,SFO,ATL,Boeing 737,On-time,Afternoon,0,27
2700,15/12/2012,Saturday,JetBlue Airways,SFO,ATL,Airbus A320,Delayed,Night,53,25
2701,20/2/2011,Thursday,United Airlines,LGA,DEN,Airbus A320,On-time,Evening,0,4
2702,12/12/2015,Monday,JetBlue Airways,LGA,JFK,Airbus A380,Delayed,Afternoon,62,25
2703,20/11/2011,Friday,Southwest Airlines,DEN,ORD,Airbus A320,On-time,Morning,0,16
2704,27/2/2013,Thursday,American Airlines,ORD,LGA,Airbus A320,Delayed,Night,109,26
2705,21/5/2011,Tuesday,JetBlue Airways,EWR,JFK,Boeing 737,On-time,Night,0,28
2706,14/4/2012,Saturday,American Airlines,LGA,DFW,Airbus A320,On-time,Afternoon,0,5
2707,25/2/2013,Tuesday,JetBlue Airways,ATL,LAX,Airbus A320,On-time,Morning,0,16
2708,31/12/2015,Tuesday,Delta Airlines,DEN,JFK,Airbus A380,Delayed,Morning,127,22
2709,19/9/2014,Thursday,Southwest Airlines,ORD,MIA,Boeing 777,On-time,Evening,0,14
2710,21/8/2013,Friday,Southwest Airlines,EWR,ORD,Boeing 737,On-time,Afternoon,0,9
2711,4/10/2013,Sunday,American Airlines,SFO,MIA,Airbus A320,On-time,Evening,0,14
2712,8/1/2012,Wednesday,Delta Airlines,DEN,ORD,Boeing 777,On-time,Afternoon,0,16
2713,7/5/2015,Monday,United Airlines,MIA,EWR,Airbus A380,Delayed,Afternoon,24,6
2714,8/5/2012,Wednesday,Southwest Airlines,ORD,ORD,Boeing 737,On-time,Afternoon,0,17
2715,12/4/2015,Friday,Delta Airlines,JFK,MIA,Airbus A380,Delayed,Morning,135,1
2716,20/8/2015,Wednesday,Delta Airlines,LGA,SFO,Boeing 777,On-time,Evening,0,18
2717,20/1/2013,Saturday,American Airlines,LAX,ORD,Boeing 737,Delayed,Evening,64,11
2718,25/3/2014,Saturday,Delta Airlines,LGA,JFK,Airbus A320,On-time,Night,0,11
2719,18/10/2011,Thursday,Delta Airlines,EWR,MIA,Boeing 777,On-time,Evening,0,28
2720,30/7/2015,Tuesday,United Airlines,DEN,ORD,Airbus A380,On-time,Night,0,12
2721,13/3/2014,Friday,American Airlines,SFO,DEN,Boeing 737,On-time,Night,0,2
2722,16/4/2011,Friday,American Airlines,ORD,DFW,Boeing 777,On-time,Morning,0,16
2723,14/12/2014,Wednesday,Delta Airlines,LAX,DEN,Boeing 777,On-time,Night,0,22
2724,31/10/2012,Thursday,United Airlines,LGA,DEN,Airbus A380,Delayed,Afternoon,0,10
2725,9/8/2015,Wednesday,JetBlue Airways,DFW,SFO,Airbus A380,Delayed,Afternoon,151,26
2726,2/1/2011,Wednesday,Southwest Airlines,MIA,EWR,Airbus A320,Delayed,Morning,27,21
2727,11/8/2012,Friday,American Airlines,DFW,DFW,Airbus A320,Delayed,Afternoon,59,14
2728,5/10/2012,Wednesday,United Airlines,MIA,ORD,Boeing 777,Delayed,Afternoon,93,7
2729,31/3/2011,Tuesday,United Airlines,SFO,LGA,Airbus A380,On-time,Evening,0,8
2730,30/9/2014,Wednesday,Delta Airlines,ATL,ATL,Boeing 777,On-time,Morning,0,26
2731,16/12/2011,Tuesday,Southwest Airlines,MIA,EWR,Embraer E175,On-time,Afternoon,0,10
2732,22/1/2015,Friday,American Airlines,LAX,ATL,Airbus A380,Delayed,Morning,123,10
2733,10/7/2014,Thursday,JetBlue Airways,MIA,SFO,Embraer E175,Delayed,Morning,38,10
2734,6/10/2014,Saturday,Delta Airlines,ORD,DEN,Embraer E175,On-time,Afternoon,0,14
2735,5/2/2014,Tuesday,American Airlines,LGA,SFO,Airbus A380,On-time,Afternoon,0,19
2736,29/5/2015,Thursday,American Airlines,LGA,SFO,Airbus A320,On-time,Night,0,9
2737,28/11/2013,Thursday,United Airlines,SFO,DEN,Boeing 777,On-time,Morning,0,17
2738,27/6/2013,Tuesday,Southwest Airlines,DFW,DEN,Boeing 737,On-time,Morning,0,19
2739,8/6/2011,Friday,JetBlue Airways,DFW,ORD,Boeing 737,On-time,Afternoon,0,2
2740,26/5/2015,Monday,Southwest Airlines,ATL,ORD,Airbus A380,Delayed,Night,36,15
2741,16/8/2013,Thursday,United Airlines,DFW,ORD,Airbus A320,Delayed,Evening,74,6
2742,8/11/2011,Thursday,JetBlue Airways,SFO,MIA,Airbus A320,On-time,Afternoon,0,29
2743,18/6/2014,Friday,JetBlue Airways,MIA,ORD,Airbus A320,Delayed,Night,19,29
2744,20/3/2012,Friday,Delta Airlines,ATL,SFO,Boeing 737,Delayed,Morning,150,28
2745,25/10/2011,Wednesday,JetBlue Airways,SFO,MIA,Embraer E175,Delayed,Morning,56,16
2746,9/8/2013,Friday,American Airlines,JFK,JFK,Boeing 737,On-time,Afternoon,0,17
2747,5/2/2011,Thursday,Southwest Airlines,EWR,MIA,Airbus A320,On-time,Night,0,24
2748,12/1/2014,Tuesday,Southwest Airlines,DFW,ORD,Boeing 737,On-time,Afternoon,0,28
2749,15/1/2015,Monday,Delta Airlines,LAX,DEN,Boeing 737,On-time,Morning,0,10
2750,4/12/2015,Sunday,JetBlue Airways,LGA,JFK,Boeing 777,On-time,Night,0,12
2751,9/11/2014,Wednesday,United Airlines,EWR,ORD,Airbus A380,On-time,Night,0,26
2752,10/4/2014,Sunday,American Airlines,DFW,SFO,Embraer E175,Delayed,Morning,157,12
2753,31/10/2014,Tuesday,Delta Airlines,DEN,ORD,Boeing 777,On-time,Morning,0,19
2754,5/9/2015,Monday,JetBlue Airways,SFO,LGA,Airbus A380,On-time,Evening,0,6
2755,17/10/2014,Monday,United Airlines,ORD,JFK,Airbus A320,On-time,Evening,0,2
2756,12/7/2012,Monday,JetBlue Airways,MIA,LAX,Boeing 777,On-time,Morning,0,21
2757,9/6/2013,Saturday,Delta Airlines,SFO,ORD,Airbus A380,On-time,Night,0,18
2758,21/5/2011,Tuesday,United Airlines,LAX,MIA,Boeing 777,On-time,Morning,0,7
2759,5/6/2013,Wednesday,United Airlines,ATL,MIA,Boeing 737,On-time,Afternoon,0,5
2760,15/2/2014,Wednesday,United Airlines,JFK,SFO,Boeing 737,On-time,Morning,0,24
2761,24/7/2014,Monday,United Airlines,SFO,ATL,Boeing 777,On-time,Night,0,22
2762,26/12/2012,Tuesday,JetBlue Airways,SFO,DFW,Boeing 777,On-time,Evening,0,29
2763,28/5/2014,Saturday,United Airlines,SFO,ORD,Embraer E175,On-time,Morning,0,8
2764,15/11/2013,Monday,JetBlue Airways,EWR,ORD,Airbus A320,On-time,Evening,0,12
2765,4/6/2012,Friday,United Airlines,MIA,SFO,Boeing 737,Delayed,Afternoon,130,25
2766,12/12/2015,Sunday,United Airlines,MIA,ATL,Boeing 777,On-time,Night,0,23
2767,10/1/2011,Wednesday,Delta Airlines,MIA,LGA,Airbus A380,On-time,Evening,0,1
2768,10/9/2013,Sunday,JetBlue Airways,DEN,DEN,Airbus A320,On-time,Afternoon,0,25
2769,13/1/2012,Thursday,JetBlue Airways,EWR,EWR,Airbus A380,On-time,Night,0,15
2770,15/7/2015,Monday,Southwest Airlines,ORD,SFO,Airbus A320,Delayed,Night,57,13
2771,19/7/2015,Friday,Delta Airlines,ATL,ATL,Airbus A380,On-time,Evening,0,25
2772,12/11/2012,Wednesday,JetBlue Airways,DEN,JFK,Boeing 737,Delayed,Evening,70,10
2773,6/8/2012,Sunday,Delta Airlines,EWR,LAX,Boeing 777,On-time,Evening,0,18
2774,1/6/2011,Saturday,Delta Airlines,JFK,SFO,Boeing 777,On-time,Night,0,18
2775,20/12/2012,Tuesday,Delta Airlines,SFO,JFK,Embraer E175,Delayed,Night,101,7
2776,8/12/2013,Wednesday,American Airlines,MIA,DEN,Boeing 777,Delayed,Night,33,15
2777,23/3/2014,Sunday,JetBlue Airways,SFO,DEN,Boeing 737,On-time,Evening,0,5
2778,8/5/2013,Tuesday,Delta Airlines,EWR,SFO,Airbus A320,On-time,Evening,0,5
2779,9/8/2014,Sunday,American Airlines,LGA,SFO,Airbus A320,On-time,Afternoon,0,1
2780,23/5/2015,Tuesday,American Airlines,LAX,ORD,Boeing 777,On-time,Morning,0,6
2781,19/2/2011,Saturday,United Airlines,DEN,ATL,Airbus A380,Delayed,Afternoon,172,16
2782,25/10/2012,Saturday,United Airlines,ORD,DFW,Boeing 777,On-time,Morning,0,8
2783,14/6/2012,Monday,JetBlue Airways,MIA,SFO,Airbus A320,On-time,Afternoon,0,4
2784,24/6/2015,Monday,United Airlines,JFK,ATL,Embraer E175,On-time,Evening,0,13
2785,19/12/2013,Wednesday,JetBlue Airways,DEN,EWR,Airbus A320,On-time,Night,0,19
2786,5/4/2014,Saturday,American Airlines,ATL,SFO,Airbus A380,On-time,Morning,0,10
2787,10/5/2014,Friday,American Airlines,ORD,MIA,Airbus A380,On-time,Night,0,26
2788,6/5/2013,Sunday,JetBlue Airways,ATL,JFK,Embraer E175,On-time,Morning,0,17
2789,26/5/2011,Sunday,United Airlines,MIA,JFK,Airbus A380,Delayed,Night,143,20
2790,3/7/2013,Sunday,United Airlines,ATL,MIA,Boeing 777,On-time,Afternoon,0,18
2791,27/8/2015,Wednesday,JetBlue Airways,EWR,LAX,Boeing 777,Delayed,Night,100,5
2792,19/9/2013,Sunday,Southwest Airlines,LAX,LGA,Airbus A320,On-time,Morning,0,12
2793,2/1/2015,Thursday,United Airlines,ATL,DFW,Boeing 737,Delayed,Evening,41,26
2794,30/8/2011,Tuesday,Delta Airlines,LGA,LGA,Boeing 777,On-time,Morning,0,1
2795,3/8/2012,Sunday,United Airlines,ORD,DFW,Boeing 777,Delayed,Night,120,25
2796,17/11/2012,Tuesday,Southwest Airlines,LGA,DEN,Embraer E175,On-time,Afternoon,0,25
2797,4/5/2015,Monday,American Airlines,LAX,DEN,Boeing 777,On-time,Morning,0,21
2798,27/4/2012,Sunday,American Airlines,JFK,EWR,Airbus A320,On-time,Afternoon,0,1
2799,5/2/2014,Friday,American Airlines,LAX,SFO,Embraer E175,Delayed,Evening,29,3
2800,3/6/2014,Saturday,United Airlines,DFW,MIA,Boeing 777,On-time,Afternoon,0,7
2801,3/11/2012,Saturday,American Airlines,DEN,MIA,Airbus A320,On-time,Afternoon,0,21
2802,22/9/2012,Monday,Southwest Airlines,LGA,MIA,Embraer E175,Delayed,Morning,30,11
2803,22/10/2012,Thursday,Southwest Airlines,EWR,ORD,Boeing 737,Delayed,Afternoon,0,25
2804,23/10/2012,Wednesday,United Airlines,JFK,LAX,Airbus A320,Delayed,Afternoon,45,20
2805,26/12/2014,Wednesday,Delta Airlines,DFW,DEN,Boeing 777,On-time,Afternoon,0,21
2806,15/3/2013,Friday,United Airlines,LAX,LAX,Embraer E175,On-time,Night,0,15
2807,6/8/2015,Monday,American Airlines,MIA,LAX,Boeing 737,On-time,Afternoon,0,3
2808,23/2/2012,Monday,United Airlines,DEN,DEN,Airbus A320,On-time,Afternoon,0,8
2809,14/9/2013,Thursday,Southwest Airlines,ATL,LAX,Boeing 737,Delayed,Afternoon,6,29
2810,18/1/2015,Sunday,United Airlines,SFO,JFK,Airbus A320,On-time,Morning,0,3
2811,29/3/2014,Wednesday,United Airlines,ORD,ORD,Boeing 777,Delayed,Morning,46,22
2812,27/3/2015,Sunday,Delta Airlines,MIA,DEN,Airbus A320,On-time,Afternoon,0,23
2813,11/10/2012,Monday,Southwest Airlines,LGA,EWR,Boeing 777,On-time,Afternoon,0,13
2814,26/8/2013,Sunday,JetBlue Airways,JFK,LGA,Airbus A320,Delayed,Night,158,2
2815,12/8/2012,Saturday,JetBlue Airways,JFK,ORD,Embraer E175,On-time,Afternoon,0,23
2816,5/1/2014,Friday,Southwest Airlines,SFO,JFK,Airbus A320,On-time,Evening,0,3
2817,23/5/2012,Wednesday,JetBlue Airways,JFK,ATL,Airbus A320,On-time,Afternoon,0,19
2818,16/3/2012,Thursday,American Airlines,EWR,ORD,Airbus A380,On-time,Morning,0,15
2819,1/7/2014,Friday,JetBlue Airways,LGA,DEN,Airbus A380,On-time,Morning,0,21
2820,9/7/2013,Tuesday,American Airlines,LAX,DFW,Airbus A320,On-time,Afternoon,0,15
2821,8/2/2013,Saturday,Southwest Airlines,JFK,ORD,Airbus A380,On-time,Morning,0,20
2822,5/9/2014,Thursday,JetBlue Airways,JFK,LGA,Boeing 777,On-time,Night,0,26
2823,20/9/2011,Friday,JetBlue Airways,LAX,DEN,Airbus A380,On-time,Morning,0,7
2824,9/6/2015,Monday,American Airlines,LAX,DEN,Airbus A320,On-time,Evening,0,3
2825,9/8/2015,Tuesday,American Airlines,DFW,ATL,Boeing 737,Delayed,Afternoon,100,25
2826,27/4/2015,Thursday,United Airlines,DEN,EWR,Boeing 737,Delayed,Morning,167,17
2827,29/10/2014,Monday,Delta Airlines,DEN,DEN,Airbus A320,On-time,Morning,0,29
2828,28/9/2012,Saturday,JetBlue Airways,DEN,ATL,Airbus A320,On-time,Afternoon,0,28
2829,5/4/2014,Tuesday,Delta Airlines,SFO,EWR,Boeing 737,On-time,Morning,0,2
2830,12/11/2015,Wednesday,Delta Airlines,JFK,SFO,Embraer E175,On-time,Evening,0,16
2831,3/4/2012,Monday,JetBlue Airways,SFO,SFO,Airbus A380,On-time,Afternoon,0,11
2832,25/9/2013,Friday,American Airlines,MIA,DFW,Embraer E175,On-time,Morning,0,9
2833,27/7/2014,Sunday,United Airlines,DEN,DEN,Boeing 777,On-time,Night,0,11
2834,30/11/2012,Thursday,Southwest Airlines,JFK,ATL,Boeing 737,On-time,Night,0,24
2835,29/10/2011,Tuesday,JetBlue Airways,DFW,ATL,Boeing 737,On-time,Afternoon,0,23
2836,4/4/2015,Monday,JetBlue Airways,SFO,ATL,Embraer E175,On-time,Morning,0,25
2837,23/5/2015,Wednesday,Southwest Airlines,LAX,LGA,Boeing 777,On-time,Night,0,5
2838,26/5/2014,Sunday,Delta Airlines,SFO,EWR,Embraer E175,On-time,Evening,0,13
2839,30/1/2014,Thursday,United Airlines,JFK,DEN,Boeing 777,Delayed,Morning,126,19
2840,7/7/2012,Thursday,Delta Airlines,SFO,ORD,Airbus A320,On-time,Evening,0,13
2841,15/10/2011,Monday,Southwest Airlines,ORD,SFO,Airbus A320,On-time,Night,0,2
2842,5/4/2014,Wednesday,Southwest Airlines,LAX,DFW,Boeing 737,On-time,Afternoon,0,22
2843,12/9/2012,Saturday,United Airlines,ATL,ORD,Airbus A320,On-time,Evening,0,29
2844,2/10/2013,Sunday,Southwest Airlines,DFW,LAX,Embraer E175,On-time,Night,0,2
2845,5/2/2011,Saturday,Southwest Airlines,MIA,DFW,Boeing 777,On-time,Afternoon,0,8
2846,13/1/2013,Tuesday,United Airlines,LAX,LAX,Boeing 737,On-time,Morning,0,5
2847,31/10/2015,Monday,JetBlue Airways,DEN,DFW,Airbus A320,Delayed,Night,20,11
2848,19/12/2011,Sunday,Delta Airlines,EWR,ATL,Boeing 737,Delayed,Night,112,2
2849,27/8/2015,Tuesday,JetBlue Airways,LGA,LGA,Boeing 737,Delayed,Morning,62,6
2850,14/3/2011,Saturday,JetBlue Airways,JFK,DFW,Boeing 777,On-time,Morning,0,22
2851,9/10/2012,Sunday,Delta Airlines,ORD,DEN,Embraer E175,On-time,Morning,0,24
2852,8/10/2014,Thursday,JetBlue Airways,LGA,MIA,Embraer E175,On-time,Afternoon,0,12
2853,29/12/2013,Tuesday,United Airlines,DEN,LGA,Airbus A380,On-time,Afternoon,0,6
2854,29/2/2012,Wednesday,Delta Airlines,MIA,ORD,Embraer E175,On-time,Morning,0,16
2855,25/9/2013,Friday,American Airlines,LAX,LAX,Airbus A320,On-time,Afternoon,0,19
2856,8/12/2012,Saturday,JetBlue Airways,SFO,ATL,Airbus A380,On-time,Night,0,24
2857,10/12/2015,Saturday,Southwest Airlines,LAX,JFK,Airbus A380,On-time,Afternoon,0,18
2858,14/7/2012,Wednesday,Delta Airlines,LAX,ORD,Airbus A380,On-time,Night,0,9
2859,7/4/2013,Sunday,American Airlines,DEN,DEN,Airbus A380,On-time,Night,0,22
2860,24/7/2015,Sunday,Southwest Airlines,DEN,LGA,Embraer E175,On-time,Afternoon,0,17
2861,13/8/2013,Sunday,American Airlines,ATL,JFK,Airbus A380,On-time,Morning,0,20
2862,31/5/2012,Tuesday,JetBlue Airways,EWR,SFO,Airbus A320,On-time,Evening,0,17
2863,3/3/2012,Monday,Southwest Airlines,LGA,LGA,Airbus A320,Delayed,Evening,104,3
2864,12/4/2015,Thursday,JetBlue Airways,SFO,DEN,Boeing 737,Delayed,Afternoon,29,15
2865,9/6/2011,Friday,Southwest Airlines,SFO,ATL,Airbus A320,On-time,Night,0,10
2866,29/5/2011,Monday,Delta Airlines,ATL,LGA,Boeing 737,On-time,Evening,0,22
2867,14/2/2013,Monday,United Airlines,DEN,ATL,Airbus A320,On-time,Night,0,19
2868,7/6/2014,Wednesday,United Airlines,DFW,SFO,Airbus A380,Delayed,Night,70,5
2869,2/10/2015,Tuesday,American Airlines,EWR,ORD,Boeing 777,On-time,Night,0,24
2870,5/5/2015,Saturday,Southwest Airlines,ATL,EWR,Airbus A380,Delayed,Night,16,24
2871,8/3/2011,Saturday,JetBlue Airways,SFO,DEN,Embraer E175,On-time,Evening,0,13
2872,10/10/2013,Wednesday,Delta Airlines,LAX,JFK,Boeing 737,Delayed,Afternoon,105,25
2873,16/1/2012,Tuesday,Delta Airlines,EWR,SFO,Boeing 777,Delayed,Afternoon,179,28
2874,27/2/2011,Wednesday,Delta Airlines,DFW,SFO,Airbus A320,On-time,Night,0,4
2875,6/7/2014,Saturday,United Airlines,DEN,LAX,Airbus A380,On-time,Night,0,14
2876,8/12/2011,Monday,JetBlue Airways,ATL,DEN,Boeing 737,Delayed,Afternoon,6,21
2877,27/2/2014,Thursday,Delta Airlines,DEN,EWR,Boeing 737,Delayed,Morning,67,20
2878,27/12/2012,Sunday,Delta Airlines,ATL,ORD,Airbus A320,On-time,Night,0,7
2879,10/4/2014,Tuesday,American Airlines,SFO,MIA,Boeing 737,Delayed,Evening,104,28
2880,8/2/2013,Friday,Southwest Airlines,DFW,MIA,Airbus A320,Delayed,Evening,173,25
2881,5/9/2012,Friday,Southwest Airlines,ATL,DEN,Airbus A320,Delayed,Night,34,6
2882,17/5/2014,Monday,Southwest Airlines,SFO,SFO,Airbus A380,On-time,Night,0,11
2883,20/12/2011,Wednesday,American Airlines,ATL,DEN,Boeing 737,On-time,Afternoon,0,11
2884,3/2/2015,Wednesday,United Airlines,DEN,SFO,Embraer E175,On-time,Morning,0,18
2885,27/12/2015,Saturday,American Airlines,LAX,LAX,Embraer E175,On-time,Afternoon,0,7
2886,26/4/2011,Monday,Delta Airlines,SFO,MIA,Airbus A380,On-time,Morning,0,19
